GENES,Patient 2177,Patient 2280,Patient 2556,Patient 2766,Patient 3196,Patient 3477
ENSG00000093167,Present,Present,None,Present,None,Present
ENSG00000093183,None,None,None,None,None,None
ENSG00000093217,Present,Present,Present,Present,Present,Present
ENSG00000094631,Present,Present,Present,Present,Present,Present
ENSG00000094755,Present,Present,Present,Present,Present,Present
ENSG00000094796,None,None,None,Present,None,None
ENSG00000094804,Present,Present,Present,Present,None,Present
ENSG00000094841,None,None,None,None,None,None
ENSG00000094880,Present,None,Present,None,None,None
ENSG00000094914,Present,Present,None,Present,Present,Present
ENSG00000094916,None,Present,None,Present,Present,Present
ENSG00000094963,Present,Present,Present,Present,Present,Present
ENSG00000094975,None,None,None,None,None,None
ENSG00000095002,Present,None,None,None,None,None
ENSG00000095015,Present,Present,Present,Present,Present,Present
ENSG00000095059,Present,Present,Present,Present,Present,Present
ENSG00000095066,None,Present,Present,Present,None,Present
ENSG00000095110,None,None,None,None,None,None
ENSG00000095139,Present,Present,Present,Present,Present,None
ENSG00000095203,None,Present,Present,Present,Present,Present
ENSG00000095209,Present,Present,Present,Present,Present,Present
ENSG00000095261,None,None,None,None,None,None
ENSG00000095303,Present,Present,Present,Present,Present,None
ENSG00000095321,Present,Present,Present,Present,Present,Present
ENSG00000095370,None,None,None,None,None,None
ENSG00000095380,None,Present,None,Present,None,None
ENSG00000095383,None,None,None,None,None,None
ENSG00000095397,Present,Present,Present,Present,Present,Present
ENSG00000095485,Present,Present,Present,Present,Present,Present
ENSG00000095539,Present,Present,Present,Present,Present,None
ENSG00000095564,None,Present,Present,Present,Present,Present
ENSG00000095574,Present,Present,Present,Present,Present,Present
ENSG00000095585,Present,Present,Present,Present,Present,None
ENSG00000095596,None,None,None,None,None,None
ENSG00000095627,Present,Present,Present,Present,Present,Present
ENSG00000095637,None,Present,None,Present,Present,Present
ENSG00000095713,None,None,None,None,None,None
ENSG00000095739,None,Present,None,Present,None,Present
ENSG00000095777,None,None,None,None,None,None
ENSG00000095787,None,Present,Present,Present,Present,None
ENSG00000095794,Present,Present,None,None,None,None
ENSG00000095906,None,None,None,None,None,None
ENSG00000095917,None,None,None,None,None,None
ENSG00000095932,Present,None,None,None,None,None
ENSG00000095951,Present,Present,Present,Present,Present,Present
ENSG00000095970,Present,Present,Present,Present,Present,Present
ENSG00000095981,None,Present,None,None,None,None
ENSG00000096006,None,None,None,Present,None,None
ENSG00000096060,Present,Present,Present,Present,Present,Present
ENSG00000096063,Present,Present,Present,Present,Present,Present
ENSG00000096070,Present,Present,None,Present,Present,Present
ENSG00000096080,Present,Present,Present,Present,Present,Present
ENSG00000096088,None,Present,None,None,None,None
ENSG00000096093,Present,None,None,Present,Present,Present
ENSG00000096264,Present,Present,Present,Present,Present,Present
ENSG00000096384,Present,Present,Present,Present,Present,Present
ENSG00000096401,Present,Present,Present,Present,Present,Present
ENSG00000096433,None,None,None,None,None,None
ENSG00000096654,None,Present,Present,Present,Present,Present
ENSG00000096696,None,None,None,None,None,None
ENSG00000096717,None,None,Present,None,None,None
ENSG00000096746,Present,Present,Present,None,Present,Present
ENSG00000096872,Present,Present,None,Present,Present,None
ENSG00000096968,Present,Present,Present,Present,Present,Present
ENSG00000097007,Present,Present,Present,Present,Present,None
ENSG00000097021,None,Present,None,None,None,None
ENSG00000097033,Present,Present,Present,Present,Present,None
ENSG00000097046,Present,Present,Present,Present,Present,Present
ENSG00000097096,None,Present,Present,None,None,None
ENSG00000099139,Present,Present,Present,None,Present,None
ENSG00000099194,Present,Present,Present,Present,Present,Present
ENSG00000099203,Present,Present,Present,Present,Present,Present
ENSG00000099204,Present,Present,Present,Present,Present,Present
ENSG00000099219,None,Present,Present,Present,None,Present
ENSG00000099246,Present,Present,Present,Present,Present,None
ENSG00000099250,Present,Present,Present,Present,Present,Present
ENSG00000099256,Present,Present,Present,Present,Present,Present
ENSG00000099260,Present,Present,None,Present,Present,Present
ENSG00000099282,None,None,None,None,None,None
ENSG00000099284,Present,Present,Present,Present,Present,None
ENSG00000099290,Present,Present,Present,Present,Present,Present
ENSG00000099308,Present,Present,None,Present,Present,Present
ENSG00000099326,None,Present,None,None,None,None
ENSG00000099330,Present,Present,Present,Present,Present,Present
ENSG00000099331,Present,Present,Present,Present,Present,Present
ENSG00000099337,None,None,None,None,None,Present
ENSG00000099338,Present,Present,Present,Present,Present,Present
ENSG00000099341,None,Present,None,Present,Present,Present
ENSG00000099364,None,None,None,None,None,None
ENSG00000099377,Present,Present,None,Present,Present,Present
ENSG00000099381,Present,Present,None,Present,Present,Present
ENSG00000099385,None,Present,None,Present,None,None
ENSG00000099617,Present,Present,Present,Present,Present,Present
ENSG00000099624,Present,Present,Present,Present,Present,Present
ENSG00000099625,Present,Present,Present,None,Present,Present
ENSG00000099715,Present,Present,Present,Present,Present,Present
ENSG00000099721,None,None,None,None,None,None
ENSG00000099749,Present,Present,Present,Present,Present,Present
ENSG00000099769,None,None,None,None,Present,None
ENSG00000099783,Present,Present,Present,Present,Present,Present
ENSG00000099785,Present,Present,Present,Present,Present,Present
ENSG00000099795,Present,Present,Present,Present,Present,Present
ENSG00000099797,None,None,Present,Present,None,None
ENSG00000099800,Present,Present,Present,Present,Present,Present
ENSG00000099804,Present,Present,Present,Present,Present,Present
ENSG00000099812,Present,None,None,None,Present,None
ENSG00000099814,None,None,None,None,None,None
ENSG00000099817,Present,Present,Present,Present,Present,Present
ENSG00000099821,Present,Present,Present,Present,Present,Present
ENSG00000099834,Present,Present,Present,Present,Present,Present
ENSG00000099840,Present,Present,Present,Present,Present,Present
ENSG00000099860,Present,Present,Present,Present,Present,None
ENSG00000099864,None,None,None,None,None,None
ENSG00000099869,None,None,None,None,None,None
ENSG00000099875,Present,Present,Present,Present,Present,Present
ENSG00000099889,None,None,None,None,None,None
ENSG00000099899,Present,Present,Present,Present,Present,Present
ENSG00000099901,None,Present,Present,Present,Present,None
ENSG00000099904,Present,Present,Present,Present,Present,Present
ENSG00000099910,None,None,None,None,None,None
ENSG00000099917,Present,Present,Present,Present,Present,Present
ENSG00000099937,None,None,None,None,None,None
ENSG00000099940,Present,Present,Present,Present,Present,Present
ENSG00000099942,Present,Present,Present,Present,Present,Present
ENSG00000099953,Present,Present,Present,Present,Present,Present
ENSG00000099954,Present,Present,Present,Present,Present,Present
ENSG00000099956,Present,Present,Present,Present,Present,Present
ENSG00000099957,Present,Present,None,Present,Present,Present
ENSG00000099958,None,Present,None,Present,Present,Present
ENSG00000099960,None,Present,None,Present,Present,None
ENSG00000099968,None,None,None,None,None,None
ENSG00000099977,Present,Present,Present,Present,Present,Present
ENSG00000099984,None,None,None,None,None,None
ENSG00000099985,None,Present,Present,Present,Present,Present
ENSG00000099991,Present,Present,Present,Present,Present,Present
ENSG00000099992,Present,Present,Present,Present,Present,Present
ENSG00000099994,None,Present,None,None,None,None
ENSG00000099995,Present,Present,None,Present,Present,Present
ENSG00000099998,None,None,Present,Present,Present,None
ENSG00000099999,Present,Present,Present,Present,Present,Present
ENSG00000100023,Present,Present,Present,Present,Present,Present
ENSG00000100024,Present,Present,Present,Present,Present,Present
ENSG00000100027,Present,Present,Present,Present,Present,Present
ENSG00000100028,Present,Present,Present,Present,Present,Present
ENSG00000100029,None,None,None,Present,None,Present
ENSG00000100030,Present,Present,Present,Present,None,Present
ENSG00000100031,None,None,None,Present,Present,Present
ENSG00000100033,Present,Present,Present,Present,Present,Present
ENSG00000100034,Present,Present,Present,Present,Present,Present
ENSG00000100036,None,None,None,None,None,None
ENSG00000100038,Present,Present,Present,Present,Present,Present
ENSG00000100053,None,None,None,None,None,None
ENSG00000100056,Present,Present,Present,Present,Present,Present
ENSG00000100060,Present,Present,Present,Present,Present,Present
ENSG00000100065,Present,Present,Present,Present,Present,Present
ENSG00000100068,None,Present,None,Present,Present,None
ENSG00000100075,None,Present,None,Present,None,None
ENSG00000100077,None,None,None,None,None,None
ENSG00000100078,None,None,Present,None,None,None
ENSG00000100079,None,None,None,None,None,None
ENSG00000100083,Present,Present,None,Present,Present,Present
ENSG00000100084,Present,Present,Present,Present,Present,Present
ENSG00000100092,None,None,None,None,None,None
ENSG00000100097,None,None,None,None,None,None
ENSG00000100099,Present,Present,Present,Present,Present,Present
ENSG00000100104,Present,Present,Present,Present,Present,Present
ENSG00000100105,Present,Present,Present,Present,Present,Present
ENSG00000100106,Present,Present,Present,None,None,Present
ENSG00000100109,Present,Present,None,Present,Present,Present
ENSG00000100116,Present,Present,Present,Present,Present,Present
ENSG00000100121,None,None,None,Present,Present,Present
ENSG00000100122,None,None,None,None,None,None
ENSG00000100129,None,None,None,None,None,None
ENSG00000100138,None,Present,Present,Present,None,None
ENSG00000100139,Present,Present,None,Present,Present,Present
ENSG00000100142,None,Present,None,Present,Present,Present
ENSG00000100146,Present,Present,Present,Present,Present,Present
ENSG00000100147,Present,Present,Present,Present,Present,Present
ENSG00000100151,Present,Present,None,Present,Present,Present
ENSG00000100154,None,Present,Present,None,None,None
ENSG00000100162,None,Present,Present,None,None,None
ENSG00000100167,None,None,Present,None,None,None
ENSG00000100170,None,None,None,None,None,None
ENSG00000100191,Present,Present,Present,Present,Present,Present
ENSG00000100196,None,None,None,None,None,None
ENSG00000100197,None,Present,None,Present,Present,Present
ENSG00000100201,None,Present,None,None,None,None
ENSG00000100206,None,None,None,None,None,None
ENSG00000100207,Present,Present,None,Present,None,None
ENSG00000100209,None,Present,None,Present,Present,None
ENSG00000100216,Present,Present,Present,Present,Present,Present
ENSG00000100218,Present,Present,Present,Present,Present,Present
ENSG00000100219,None,None,None,None,None,None
ENSG00000100220,Present,Present,Present,Present,Present,Present
ENSG00000100221,None,None,None,None,None,None
ENSG00000100225,Present,Present,Present,Present,Present,Present
ENSG00000100226,Present,Present,None,Present,Present,Present
ENSG00000100227,None,None,None,None,None,None
ENSG00000100234,Present,Present,Present,Present,Present,Present
ENSG00000100239,Present,Present,None,Present,Present,Present
ENSG00000100241,None,None,None,None,None,None
ENSG00000100242,Present,Present,Present,Present,Present,Present
ENSG00000100243,Present,Present,Present,Present,Present,Present
ENSG00000100246,Present,Present,Present,Present,Present,Present
ENSG00000100249,None,None,None,None,None,None
ENSG00000100253,Present,Present,None,None,None,None
ENSG00000100263,Present,Present,Present,Present,Present,Present
ENSG00000100266,Present,Present,Present,None,None,Present
ENSG00000100271,Present,Present,Present,Present,Present,Present
ENSG00000100281,Present,Present,Present,Present,Present,Present
ENSG00000100284,Present,Present,Present,Present,Present,Present
ENSG00000100285,None,None,None,None,None,None
ENSG00000100288,Present,Present,Present,Present,Present,None
ENSG00000100290,None,None,None,None,None,None
ENSG00000100292,None,None,None,None,None,None
ENSG00000100294,Present,Present,Present,Present,Present,Present
ENSG00000100296,None,None,None,None,None,None
ENSG00000100297,None,None,None,None,None,None
ENSG00000100298,None,None,None,None,None,None
ENSG00000100299,Present,Present,Present,Present,Present,Present
ENSG00000100300,Present,Present,Present,Present,Present,Present
ENSG00000100302,Present,Present,Present,Present,Present,Present
ENSG00000100304,None,Present,None,None,Present,None
ENSG00000100307,Present,Present,Present,Present,Present,Present
ENSG00000100311,Present,Present,Present,Present,Present,Present
ENSG00000100312,None,None,None,None,None,None
ENSG00000100314,None,None,None,None,None,None
ENSG00000100316,Present,Present,Present,Present,Present,Present
ENSG00000100319,Present,Present,Present,Present,Present,Present
ENSG00000100320,None,None,None,None,None,None
ENSG00000100321,Present,None,None,None,None,None
ENSG00000100324,Present,Present,None,Present,Present,Present
ENSG00000100325,Present,Present,Present,Present,Present,Present
ENSG00000100330,None,Present,Present,Present,Present,Present
ENSG00000100335,Present,Present,Present,Present,Present,Present
ENSG00000100336,None,None,None,None,None,None
ENSG00000100341,None,None,None,None,None,Present
ENSG00000100342,Present,Present,Present,Present,None,None
ENSG00000100345,None,Present,None,None,None,None
ENSG00000100347,Present,Present,Present,Present,Present,Present
ENSG00000100348,Present,Present,Present,Present,Present,Present
ENSG00000100350,Present,Present,Present,Present,Present,Present
ENSG00000100351,Present,Present,Present,None,Present,Present
ENSG00000100354,Present,Present,Present,Present,Present,Present
ENSG00000100359,Present,Present,Present,Present,Present,Present
ENSG00000100360,Present,Present,Present,Present,None,Present
ENSG00000100362,None,None,None,None,None,None
ENSG00000100364,Present,Present,None,None,Present,Present
ENSG00000100365,None,None,None,None,None,None
ENSG00000100368,Present,Present,Present,Present,Present,Present
ENSG00000100372,None,None,None,None,None,None
ENSG00000100373,None,None,None,None,None,None
ENSG00000100376,Present,Present,Present,Present,Present,Present
ENSG00000100379,None,Present,None,Present,None,None
ENSG00000100380,Present,Present,Present,Present,Present,Present
ENSG00000100387,None,None,None,None,None,None
ENSG00000100393,Present,Present,None,Present,Present,Present
ENSG00000100395,None,None,None,None,None,None
ENSG00000100399,Present,Present,Present,Present,Present,Present
ENSG00000100401,Present,Present,Present,Present,Present,Present
ENSG00000100403,None,None,None,None,None,None
ENSG00000100410,Present,Present,Present,Present,Present,Present
ENSG00000100412,Present,Present,Present,Present,Present,Present
ENSG00000100413,Present,Present,Present,Present,Present,Present
ENSG00000100416,None,None,None,None,Present,None
ENSG00000100417,Present,None,None,None,Present,None
ENSG00000100422,Present,Present,None,None,Present,None
ENSG00000100425,None,None,None,None,None,None
ENSG00000100426,Present,Present,Present,Present,Present,Present
ENSG00000100427,Present,Present,Present,Present,Present,Present
ENSG00000100429,Present,Present,Present,Present,Present,Present
ENSG00000100433,Present,Present,None,Present,Present,Present
ENSG00000100439,Present,Present,Present,Present,Present,Present
ENSG00000100441,None,None,None,None,None,None
ENSG00000100442,Present,Present,Present,Present,Present,Present
ENSG00000100445,Present,Present,Present,Present,Present,Present
ENSG00000100448,None,None,None,None,None,None
ENSG00000100450,None,None,None,None,None,None
ENSG00000100453,None,None,None,None,None,None
ENSG00000100461,None,None,None,None,None,None
ENSG00000100462,Present,Present,Present,Present,Present,Present
ENSG00000100473,None,None,None,None,Present,None
ENSG00000100478,Present,Present,Present,Present,Present,Present
ENSG00000100479,Present,None,None,Present,Present,None
ENSG00000100483,Present,Present,Present,Present,Present,Present
ENSG00000100485,Present,Present,None,None,Present,None
ENSG00000100503,None,None,None,None,None,None
ENSG00000100504,Present,Present,Present,Present,Present,Present
ENSG00000100519,Present,Present,Present,Present,Present,Present
ENSG00000100522,Present,Present,Present,Present,Present,Present
ENSG00000100523,Present,Present,None,None,Present,Present
ENSG00000100526,Present,Present,None,Present,Present,None
ENSG00000100528,Present,Present,Present,Present,Present,Present
ENSG00000100532,None,Present,None,None,None,None
ENSG00000100554,None,None,None,None,None,None
ENSG00000100557,Present,Present,Present,Present,Present,Present
ENSG00000100558,Present,Present,Present,Present,Present,Present
ENSG00000100564,None,Present,None,Present,None,None
ENSG00000100565,Present,Present,Present,Present,Present,Present
ENSG00000100567,Present,Present,Present,Present,Present,Present
ENSG00000100568,Present,Present,Present,Present,Present,Present
ENSG00000100575,Present,Present,Present,Present,Present,Present
ENSG00000100577,Present,Present,Present,Present,Present,Present
ENSG00000100578,Present,Present,Present,Present,Present,Present
ENSG00000100580,None,None,None,None,None,None
ENSG00000100583,Present,Present,None,Present,Present,Present
ENSG00000100591,None,Present,None,None,None,None
ENSG00000100592,Present,Present,Present,Present,Present,Present
ENSG00000100593,Present,Present,Present,Present,Present,Present
ENSG00000100596,None,None,None,None,None,None
ENSG00000100599,None,None,None,None,None,None
ENSG00000100600,Present,Present,Present,Present,Present,Present
ENSG00000100601,Present,Present,Present,Present,Present,Present
ENSG00000100603,Present,Present,Present,Present,Present,Present
ENSG00000100604,None,None,None,None,None,None
ENSG00000100612,Present,Present,None,Present,Present,Present
ENSG00000100614,Present,Present,Present,Present,Present,Present
ENSG00000100625,Present,Present,Present,Present,Present,Present
ENSG00000100628,Present,Present,Present,Present,Present,Present
ENSG00000100629,Present,Present,Present,Present,Present,Present
ENSG00000100632,Present,Present,None,Present,Present,Present
ENSG00000100644,None,None,None,None,None,None
ENSG00000100647,None,Present,Present,Present,Present,Present
ENSG00000100650,None,None,None,Present,None,None
ENSG00000100652,None,None,None,Present,None,Present
ENSG00000100664,Present,Present,Present,Present,Present,Present
ENSG00000100665,None,None,None,None,None,None
ENSG00000100678,Present,Present,Present,Present,Present,Present
ENSG00000100697,Present,Present,Present,Present,Present,Present
ENSG00000100714,Present,Present,Present,Present,Present,Present
ENSG00000100721,None,None,None,None,None,None
ENSG00000100722,Present,Present,Present,Present,None,Present
ENSG00000100726,Present,Present,Present,Present,Present,Present
ENSG00000100731,Present,Present,Present,Present,Present,Present
ENSG00000100739,Present,Present,Present,Present,Present,Present
ENSG00000100744,Present,Present,Present,Present,Present,Present
ENSG00000100749,None,Present,None,None,Present,None
ENSG00000100764,None,None,None,None,None,None
ENSG00000100767,Present,Present,None,Present,Present,None
ENSG00000100784,Present,Present,None,Present,Present,None
ENSG00000100796,Present,Present,None,Present,Present,Present
ENSG00000100802,None,Present,None,Present,None,None
ENSG00000100804,None,None,None,None,None,None
ENSG00000100811,None,None,None,None,None,None
ENSG00000100813,Present,Present,Present,Present,Present,Present
ENSG00000100815,None,None,None,None,None,None
ENSG00000100823,Present,Present,Present,Present,Present,Present
ENSG00000100836,None,None,None,None,None,None
ENSG00000100842,None,None,None,None,None,None
ENSG00000100852,Present,None,None,None,None,None
ENSG00000100867,Present,Present,Present,Present,Present,Present
ENSG00000100883,Present,Present,Present,Present,Present,Present
ENSG00000100884,None,Present,Present,None,None,Present
ENSG00000100888,None,None,None,None,None,None
ENSG00000100889,Present,Present,Present,Present,Present,Present
ENSG00000100890,Present,Present,Present,Present,Present,Present
ENSG00000100897,Present,Present,Present,Present,Present,Present
ENSG00000100902,Present,Present,Present,Present,Present,Present
ENSG00000100906,None,None,None,None,None,None
ENSG00000100908,Present,None,None,None,None,None
ENSG00000100916,None,None,None,None,None,None
ENSG00000100918,Present,Present,None,Present,Present,Present
ENSG00000100934,Present,Present,Present,Present,Present,Present
ENSG00000100938,Present,Present,Present,Present,Present,Present
ENSG00000100941,None,None,None,Present,None,None
ENSG00000100949,Present,None,None,None,None,None
ENSG00000100968,None,Present,None,Present,Present,None
ENSG00000100979,Present,Present,Present,Present,Present,Present
ENSG00000100982,Present,Present,Present,Present,None,Present
ENSG00000100985,None,None,None,None,None,None
ENSG00000100987,None,Present,None,Present,None,None
ENSG00000100991,None,None,None,None,None,None
ENSG00000100994,None,None,None,None,None,None
ENSG00000100997,None,None,None,None,None,None
ENSG00000101000,None,None,None,None,None,None
ENSG00000101003,Present,Present,None,Present,Present,Present
ENSG00000101004,Present,Present,Present,Present,Present,Present
ENSG00000101017,None,Present,None,None,Present,None
ENSG00000101019,Present,Present,Present,Present,Present,Present
ENSG00000101040,None,Present,None,Present,Present,None
ENSG00000101049,None,Present,None,None,None,None
ENSG00000101057,Present,Present,Present,Present,Present,Present
ENSG00000101076,None,Present,Present,Present,Present,Present
ENSG00000101079,Present,Present,Present,Present,None,Present
ENSG00000101096,None,Present,None,None,None,None
ENSG00000101109,None,None,None,None,None,None
ENSG00000101115,Present,Present,Present,Present,Present,Present
ENSG00000101126,Present,Present,None,None,None,None
ENSG00000101132,Present,Present,None,Present,None,None
ENSG00000101138,Present,Present,Present,Present,Present,Present
ENSG00000101146,None,Present,Present,Present,None,None
ENSG00000101150,None,None,None,Present,None,None
ENSG00000101152,Present,Present,Present,Present,Present,Present
ENSG00000101160,Present,Present,Present,Present,Present,Present
ENSG00000101161,Present,Present,None,Present,Present,Present
ENSG00000101162,None,None,None,Present,None,None
ENSG00000101166,Present,Present,None,Present,Present,Present
ENSG00000101180,Present,Present,Present,Present,None,Present
ENSG00000101181,None,None,None,Present,None,None
ENSG00000101182,Present,Present,Present,Present,Present,Present
ENSG00000101187,Present,None,Present,Present,None,Present
ENSG00000101188,None,None,None,None,None,None
ENSG00000101189,None,Present,Present,Present,None,None
ENSG00000101190,None,None,None,None,None,Present
ENSG00000101191,None,Present,Present,None,Present,Present
ENSG00000101193,Present,Present,Present,Present,Present,Present
ENSG00000101197,Present,Present,Present,Present,Present,Present
ENSG00000101198,None,None,None,Present,None,Present
ENSG00000101199,Present,Present,Present,Present,Present,Present
ENSG00000101203,Present,Present,Present,Present,Present,Present
ENSG00000101204,Present,Present,Present,Present,Present,Present
ENSG00000101210,None,Present,None,Present,Present,Present
ENSG00000101213,Present,Present,Present,Present,Present,Present
ENSG00000101216,Present,Present,Present,Present,Present,Present
ENSG00000101220,Present,None,None,Present,None,None
ENSG00000101222,Present,Present,None,Present,Present,Present
ENSG00000101224,None,None,None,Present,None,None
ENSG00000101230,None,None,None,None,None,Present
ENSG00000101236,Present,Present,Present,Present,Present,Present
ENSG00000101246,Present,Present,Present,Present,Present,Present
ENSG00000101247,Present,Present,Present,Present,Present,Present
ENSG00000101255,Present,Present,Present,Present,Present,Present
ENSG00000101265,Present,Present,Present,Present,Present,Present
ENSG00000101266,Present,None,None,None,None,None
ENSG00000101276,None,None,None,None,None,None
ENSG00000101280,Present,Present,Present,Present,Present,Present
ENSG00000101282,None,None,None,None,None,None
ENSG00000101290,Present,Present,Present,Present,Present,Present
ENSG00000101292,Present,Present,Present,Present,None,Present
ENSG00000101294,Present,Present,Present,Present,Present,Present
ENSG00000101298,Present,Present,None,Present,None,Present
ENSG00000101307,None,None,None,Present,None,None
ENSG00000101310,Present,Present,Present,Present,Present,Present
ENSG00000101311,Present,Present,Present,Present,None,Present
ENSG00000101321,None,None,None,None,None,None
ENSG00000101323,Present,Present,Present,Present,Present,Present
ENSG00000101327,None,None,None,None,None,None
ENSG00000101331,None,None,None,None,None,None
ENSG00000101333,Present,Present,None,Present,Present,Present
ENSG00000101335,None,None,None,None,Present,None
ENSG00000101336,Present,Present,None,Present,Present,None
ENSG00000101342,None,Present,Present,Present,Present,Present
ENSG00000101347,None,None,None,Present,Present,Present
ENSG00000101349,None,Present,None,None,None,None
ENSG00000101350,None,Present,None,None,None,None
ENSG00000101361,None,None,None,Present,None,None
ENSG00000101363,None,None,None,None,None,None
ENSG00000101365,Present,Present,None,Present,Present,Present
ENSG00000101367,None,Present,None,None,None,None
ENSG00000101384,Present,Present,Present,Present,Present,Present
ENSG00000101400,None,None,None,None,None,None
ENSG00000101407,None,None,None,None,None,None
ENSG00000101412,Present,Present,Present,Present,Present,None
ENSG00000101417,Present,Present,Present,Present,Present,Present
ENSG00000101421,None,None,Present,Present,Present,None
ENSG00000101438,Present,Present,Present,Present,Present,Present
ENSG00000101439,None,Present,None,None,None,Present
ENSG00000101440,None,None,None,None,None,None
ENSG00000101441,None,None,None,None,None,None
ENSG00000101442,None,None,None,Present,None,None
ENSG00000101443,None,None,None,None,None,None
ENSG00000101444,Present,Present,None,Present,Present,Present
ENSG00000101445,None,None,None,None,None,None
ENSG00000101447,None,None,None,None,None,None
ENSG00000101457,Present,Present,Present,Present,Present,None
ENSG00000101460,Present,Present,Present,Present,None,None
ENSG00000101464,Present,Present,Present,Present,Present,Present
ENSG00000101470,None,None,None,None,None,None
ENSG00000101473,Present,Present,Present,Present,Present,Present
ENSG00000101474,Present,Present,Present,Present,Present,Present
ENSG00000101489,None,None,None,None,None,None
ENSG00000101493,Present,None,Present,Present,Present,Present
ENSG00000101542,Present,Present,Present,Present,Present,Present
ENSG00000101544,None,None,None,None,None,None
ENSG00000101546,Present,Present,Present,Present,Present,Present
ENSG00000101557,Present,Present,Present,Present,Present,Present
ENSG00000101558,Present,Present,Present,Present,Present,Present
ENSG00000101574,Present,Present,Present,Present,Present,Present
ENSG00000101577,Present,Present,Present,Present,None,Present
ENSG00000101596,Present,None,None,Present,None,Present
ENSG00000101605,Present,Present,Present,Present,Present,Present
ENSG00000101608,None,Present,None,None,Present,None
ENSG00000101624,Present,Present,Present,Present,Present,Present
ENSG00000101638,None,None,Present,Present,Present,Present
ENSG00000101639,Present,Present,Present,Present,Present,Present
ENSG00000101654,None,Present,None,None,Present,Present
ENSG00000101665,Present,Present,Present,Present,Present,Present
ENSG00000101670,Present,Present,None,Present,Present,Present
ENSG00000101680,Present,Present,Present,Present,Present,Present
ENSG00000101695,None,Present,None,Present,Present,Present
ENSG00000101745,Present,Present,Present,Present,Present,Present
ENSG00000101746,Present,Present,Present,Present,Present,Present
ENSG00000101751,Present,None,None,Present,None,None
ENSG00000101752,Present,Present,Present,Present,Present,Present
ENSG00000101773,None,Present,Present,Present,Present,Present
ENSG00000101782,Present,Present,Present,Present,Present,Present
ENSG00000101811,None,Present,Present,None,None,None
ENSG00000101812,Present,Present,Present,Present,Present,Present
ENSG00000101825,None,None,None,None,None,None
ENSG00000101842,Present,Present,Present,Present,Present,Present
ENSG00000101843,None,Present,None,None,None,None
ENSG00000101844,None,None,None,Present,Present,None
ENSG00000101846,Present,Present,Present,Present,Present,Present
ENSG00000101849,Present,Present,Present,Present,Present,Present
ENSG00000101850,None,None,None,None,None,None
ENSG00000101856,Present,Present,Present,Present,Present,Present
ENSG00000101868,Present,Present,None,Present,None,Present
ENSG00000101871,Present,None,None,Present,Present,Present
ENSG00000101882,Present,Present,Present,Present,Present,Present
ENSG00000101888,None,Present,None,None,Present,None
ENSG00000101890,Present,Present,Present,Present,Present,Present
ENSG00000101892,Present,Present,Present,Present,Present,Present
ENSG00000101901,Present,Present,Present,Present,Present,Present
ENSG00000101916,None,None,None,None,None,None
ENSG00000101928,Present,Present,None,Present,Present,None
ENSG00000101935,Present,Present,Present,Present,Present,Present
ENSG00000101938,Present,Present,None,Present,Present,None
ENSG00000101940,None,None,None,None,None,None
ENSG00000101945,Present,Present,None,Present,Present,Present
ENSG00000101951,Present,Present,Present,Present,Present,Present
ENSG00000101955,Present,Present,Present,Present,Present,Present
ENSG00000101966,Present,Present,None,Present,Present,Present
ENSG00000101972,None,Present,None,None,None,None
ENSG00000101974,None,None,None,None,None,None
ENSG00000101977,Present,Present,Present,Present,Present,Present
ENSG00000101981,Present,Present,Present,Present,Present,Present
ENSG00000101986,Present,Present,Present,Present,Present,Present
ENSG00000101997,None,None,None,None,None,None
ENSG00000102003,None,Present,Present,None,None,None
ENSG00000102007,Present,Present,Present,Present,Present,Present
ENSG00000102010,Present,Present,Present,Present,Present,Present
ENSG00000102021,Present,Present,Present,Present,Present,Present
ENSG00000102024,Present,Present,Present,Present,Present,Present
ENSG00000102030,None,Present,None,Present,None,None
ENSG00000102032,None,None,None,None,None,None
ENSG00000102038,None,None,None,None,None,None
ENSG00000102043,Present,Present,Present,Present,Present,Present
ENSG00000102048,None,Present,None,None,None,None
ENSG00000102053,Present,Present,Present,Present,Present,Present
ENSG00000102054,Present,Present,Present,Present,Present,Present
ENSG00000102057,Present,Present,Present,Present,Present,Present
ENSG00000102069,Present,Present,Present,Present,Present,Present
ENSG00000102080,Present,Present,Present,Present,Present,Present
ENSG00000102081,Present,Present,Present,Present,Present,Present
ENSG00000102096,None,None,None,None,None,None
ENSG00000102098,None,None,None,None,None,None
ENSG00000102100,Present,Present,None,Present,Present,Present
ENSG00000102103,Present,Present,Present,Present,Present,Present
ENSG00000102109,None,None,None,None,None,None
ENSG00000102119,Present,Present,Present,Present,Present,Present
ENSG00000102125,Present,Present,Present,Present,Present,Present
ENSG00000102144,Present,Present,Present,Present,Present,Present
ENSG00000102145,Present,Present,Present,Present,Present,Present
ENSG00000102158,Present,Present,Present,Present,Present,Present
ENSG00000102172,None,None,None,None,None,None
ENSG00000102174,Present,Present,Present,Present,Present,Present
ENSG00000102178,Present,Present,None,Present,Present,Present
ENSG00000102181,None,None,None,None,None,Present
ENSG00000102189,Present,Present,Present,Present,Present,None
ENSG00000102195,Present,Present,Present,None,Present,Present
ENSG00000102218,None,None,None,None,None,None
ENSG00000102221,Present,Present,Present,Present,Present,Present
ENSG00000102225,Present,Present,Present,Present,Present,Present
ENSG00000102226,None,None,None,Present,None,None
