"","Gene","Tissue","Cell.type","Level","Expression.type","Reliability","Canc.Level.50","Canc.Level.75","Canc.Level.90","Canc.Level.100"
"1201623","ENSG00000204519","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1201700","ENSG00000204524","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1201777","ENSG00000204531","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present",NA
"1201858","ENSG00000204532","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1201938","ENSG00000204536","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1202018","ENSG00000204538","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1202099","ENSG00000204539","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected","Not detected"
"1202182","ENSG00000204540","liver","hepatocytes","Not detected","APE","Uncertain","Not detected",NA,NA,NA
"1202262","ENSG00000204542","liver","hepatocytes","Not detected","APE","Uncertain","Present","Present",NA,NA
"1202334","ENSG00000204544","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1202411","ENSG00000204548","liver","hepatocytes","Not detected","APE","Uncertain","Present",NA,NA,NA
"1202490","ENSG00000204560","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present","Present"
"1202569","ENSG00000204564","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1202646","ENSG00000204566","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected","Not detected"
"1202729","ENSG00000204568","liver","hepatocytes","Present","APE","Supportive","Present","Present","Present","Present"
"1202808","ENSG00000204569","liver","hepatocytes","Not detected","APE","Supportive","Present",NA,NA,NA
"1202886","ENSG00000204574","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present",NA
"1202966","ENSG00000204580","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected",NA,NA
"1203049","ENSG00000204590","liver","hepatocytes","Present","APE","Uncertain","Present","Present",NA,NA
"1203130","ENSG00000204592","liver","hepatocytes","Not detected","APE","Supportive","Present","Present",NA,NA
"1203213","ENSG00000204595","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1203293","ENSG00000204599","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1203372","ENSG00000204610","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present",NA
"1203448","ENSG00000204613","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1203528","ENSG00000204614","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"1203605","ENSG00000204616","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1203684","ENSG00000204618","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected",NA,NA
"1203760","ENSG00000204619","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1203839","ENSG00000204624","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present",NA
"1203920","ENSG00000204628","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1204000","ENSG00000204632","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected","Not detected"
"1204079","ENSG00000204634","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present",NA
"1204159","ENSG00000204640","liver","hepatocytes","Not detected","APE","Uncertain","Not detected",NA,NA,NA
"1204235","ENSG00000204644","liver","hepatocytes","Present","APE","Uncertain","Present","Present",NA,NA
"1204316","ENSG00000204645","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"1204397","ENSG00000204653","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"1204477","ENSG00000204655","liver","hepatocytes","Not detected","APE","Supportive","Not detected","Not detected","Not detected","Not detected"
"1204557","ENSG00000204661","liver","hepatocytes","Not detected","APE","Supportive","Present",NA,NA,NA
"1204637","ENSG00000204669","liver","hepatocytes","Present","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1204716","ENSG00000204671","liver","hepatocytes","Not detected","APE","Uncertain","Not detected","Not detected","Not detected",NA
"1204797","ENSG00000204673","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present",NA
"1204877","ENSG00000204677","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1204956","ENSG00000204681","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
"1205037","ENSG00000204682","liver","hepatocytes","Present","APE","Uncertain","Not detected","Not detected","Not detected","Not detected"
"1205117","ENSG00000204683","liver","hepatocytes","Present","APE","Uncertain","Present","Present","Present","Present"
"1205195","ENSG00000204687","liver","hepatocytes","Present","APE","Uncertain","Present",NA,NA,NA
