"","Gene","Tissue","Cell.type","Level","Expression.type","Reliability","Canc.Level.50","Canc.Level.75","Canc.Level.90","Canc.Level.100"
"990800","ENSG00000178473","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"996656","ENSG00000179044","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"997213","ENSG00000179085","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"997678","ENSG00000179119","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1002414","ENSG00000179630","liver","bile duct cells","High","APE","Uncertain","Low","Low","Low","Low"
"1003527","ENSG00000179776","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1005193","ENSG00000179921","liver","bile duct cells","High","APE","Supportive","Low","Low","Low","Low"
"1006058","ENSG00000179988","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1007482","ENSG00000180190","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1010563","ENSG00000180475","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1013129","ENSG00000180773","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1014570","ENSG00000180881","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1017284","ENSG00000181072","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1017999","ENSG00000181195","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"1020065","ENSG00000181472","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1024480","ENSG00000181939","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1024644","ENSG00000181991","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"1024809","ENSG00000182013","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1025509","ENSG00000182093","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1025985","ENSG00000182118","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1028440","ENSG00000182256","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1030192","ENSG00000182368","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1031607","ENSG00000182512","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"1036685","ENSG00000182890","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1038830","ENSG00000183035","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1040093","ENSG00000183098","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1043554","ENSG00000183397","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1043632","ENSG00000183401","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1043950","ENSG00000183431","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"1045214","ENSG00000183520","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1045688","ENSG00000183562","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1050264","ENSG00000183779","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1052654","ENSG00000183941","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1055678","ENSG00000184207","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"1057508","ENSG00000184321","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1059807","ENSG00000184470","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"1060206","ENSG00000184497","liver","bile duct cells","High","APE","Supportive","Low","Low","Low","Low"
"1063064","ENSG00000184682","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1063381","ENSG00000184708","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"1064088","ENSG00000184787","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"1065822","ENSG00000184903","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1068132","ENSG00000185028","liver","bile duct cells","High","APE","Uncertain","Low","Low","Low","Low"
"1069966","ENSG00000185149","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1073387","ENSG00000185386","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1075206","ENSG00000185532","liver","bile duct cells","High","APE","Uncertain","Low","Low","Low","Low"
"1076244","ENSG00000185624","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"1076874","ENSG00000185658","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1077276","ENSG00000185670","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1078069","ENSG00000185736","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1082218","ENSG00000185989","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1083883","ENSG00000186104","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1087291","ENSG00000186318","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1088972","ENSG00000186432","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"1089775","ENSG00000186468","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"1089851","ENSG00000186469","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1091046","ENSG00000186566","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1092873","ENSG00000186714","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1095774","ENSG00000186980","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1098199","ENSG00000187189","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1099948","ENSG00000187492","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1100261","ENSG00000187514","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1103973","ENSG00000187742","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1107063","ENSG00000187950","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1107933","ENSG00000187997","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1109282","ENSG00000188100","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1111603","ENSG00000188279","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1112870","ENSG00000188343","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1115177","ENSG00000188529","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1117470","ENSG00000188707","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"1119286","ENSG00000188816","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1120000","ENSG00000188848","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1120475","ENSG00000188886","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1121753","ENSG00000188987","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1121992","ENSG00000188993","liver","bile duct cells","High","APE","Uncertain","Low","Low","Low","Low"
"1122706","ENSG00000189050","liver","bile duct cells","High","APE","Uncertain","Low","Low","Low","Low"
"1123416","ENSG00000189090","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1123967","ENSG00000189132","liver","bile duct cells","High","APE","Uncertain","Low","Low","Low","Low"
"1126106","ENSG00000189319","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1127130","ENSG00000189376","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1129601","ENSG00000196176","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1131189","ENSG00000196263","liver","bile duct cells","High","APE","Uncertain","Low","Low","Low","Low"
"1136410","ENSG00000196504","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"1142935","ENSG00000196865","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1145793","ENSG00000197050","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1145951","ENSG00000197057","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1146030","ENSG00000197061","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1148727","ENSG00000197238","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1150631","ENSG00000197353","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1151265","ENSG00000197381","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1154538","ENSG00000197563","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"1160197","ENSG00000197872","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1161147","ENSG00000197910","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1161225","ENSG00000197914","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1163851","ENSG00000198040","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1166701","ENSG00000198162","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"1167096","ENSG00000198178","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1169237","ENSG00000198327","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1169476","ENSG00000198339","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1170431","ENSG00000198393","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1171222","ENSG00000198445","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1172492","ENSG00000198518","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1173354","ENSG00000198558","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1176046","ENSG00000198707","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"1176765","ENSG00000198727","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1180902","ENSG00000198841","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
"1190046","ENSG00000203880","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1192491","ENSG00000204052","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1198691","ENSG00000204386","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1204876","ENSG00000204677","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1205116","ENSG00000204683","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1212134","ENSG00000205212","liver","bile duct cells","High","APE","Uncertain","Low","Low","Low","Low"
"1213100","ENSG00000205302","liver","bile duct cells","High","APE","Uncertain","Low","Low","Low","Low"
"1221826","ENSG00000206538","liver","bile duct cells","High","APE","Uncertain","Low","Low","Low","Low"
"1227937","ENSG00000213471","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1232795","ENSG00000214021","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1232955","ENSG00000214026","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1235113","ENSG00000214357","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1235513","ENSG00000214402","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1236312","ENSG00000214556","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1236709","ENSG00000214643","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1237583","ENSG00000214736","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1238143","ENSG00000214842","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1243305","ENSG00000215699","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1244884","ENSG00000218497","liver","bile duct cells","Low","APE","Uncertain","High","High","High","High"
"1249102","ENSG00000221983","liver","bile duct cells","Low","APE","Supportive","High","High","High","High"
