GENES,Patient 2177,Patient 2280,Patient 2556,Patient 2766,Patient 3196,Patient 3477
ENSG00000109065,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000109083,Moderate,Strong,Negative,Weak,Negative,Negative
ENSG00000109089,Moderate,Moderate,Negative,Negative,Moderate,Weak
ENSG00000109103,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000109107,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000109113,Moderate,Strong,Negative,Weak,Moderate,Weak
ENSG00000109118,Moderate,Moderate,Negative,Moderate,Moderate,Weak
ENSG00000109171,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000109181,Weak,Weak,Negative,Weak,Negative,Weak
ENSG00000109193,Weak,Weak,Weak,Weak,Weak,Negative
ENSG00000109220,Negative,Weak,Negative,Negative,Moderate,Negative
ENSG00000109255,Moderate,Moderate,Moderate,Moderate,Negative,Moderate
ENSG00000109320,Negative,Moderate,Negative,Negative,Negative,Weak
ENSG00000109339,Strong,Strong,Strong,Strong,Weak,Strong
ENSG00000109452,Moderate,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000109501,Moderate,Strong,Weak,Strong,Moderate,Weak
ENSG00000109511,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000109625,Strong,Strong,Strong,Strong,Strong,Moderate
ENSG00000109670,Moderate,Weak,Moderate,Weak,Moderate,Weak
ENSG00000109705,Moderate,Weak,Negative,Strong,Moderate,Weak
ENSG00000109771,Moderate,Moderate,Negative,Moderate,Moderate,Weak
ENSG00000109775,Moderate,Moderate,Strong,Moderate,Strong,Strong
ENSG00000109814,Strong,Strong,Strong,Strong,Moderate,Moderate
ENSG00000109832,Moderate,Moderate,Negative,Negative,Weak,Moderate
ENSG00000109846,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000109851,Negative,Weak,Negative,Negative,Weak,Negative
ENSG00000109854,Strong,Moderate,Weak,Strong,Moderate,Negative
ENSG00000109920,Weak,Weak,Negative,Negative,Negative,Negative
ENSG00000109927,Negative,Negative,Negative,Negative,Negative,Weak
ENSG00000110002,Moderate,Moderate,Strong,Moderate,Moderate,Moderate
ENSG00000110031,Negative,Weak,Negative,Weak,Negative,Negative
ENSG00000110077,Negative,Strong,Negative,Strong,Moderate,Strong
ENSG00000110079,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000110080,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000110092,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000110104,Negative,Moderate,Weak,Strong,Negative,Negative
ENSG00000110148,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000110315,Negative,Moderate,Negative,Weak,Negative,Negative
ENSG00000110367,Moderate,Weak,Moderate,Moderate,Weak,Moderate
ENSG00000110395,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000110400,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000110422,Weak,Moderate,Negative,Moderate,Negative,Negative
ENSG00000110448,Negative,Negative,Negative,Negative,Negative,Weak
ENSG00000110455,Moderate,Moderate,Strong,Strong,Weak,Moderate
ENSG00000110497,Weak,Moderate,Moderate,Strong,Moderate,Moderate
ENSG00000110583,Negative,Negative,Negative,Moderate,Weak,Negative
ENSG00000110665,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000110696,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000110717,Negative,Weak,Negative,Negative,Strong,Weak
ENSG00000110721,Strong,Strong,Negative,Moderate,Weak,Moderate
ENSG00000110851,Weak,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000110880,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000110911,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000110931,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000111077,Negative,Negative,Negative,Negative,Negative,Weak
ENSG00000111142,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000111181,Weak,Weak,Negative,Negative,Weak,Moderate
ENSG00000111203,Moderate,Moderate,Moderate,Strong,Moderate,Moderate
ENSG00000111206,Moderate,Negative,Weak,Moderate,Moderate,Weak
ENSG00000111215,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000111224,Moderate,Negative,Weak,Negative,Moderate,Negative
ENSG00000111245,Negative,Negative,Negative,Weak,Weak,Negative
ENSG00000111254,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000111266,Negative,Moderate,Weak,Negative,Negative,Negative
ENSG00000111321,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000111328,Moderate,Moderate,Weak,Negative,Weak,Moderate
ENSG00000111339,Weak,Moderate,Weak,Moderate,Negative,Moderate
ENSG00000111348,Negative,Negative,Weak,Negative,Negative,Negative
ENSG00000111412,Moderate,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000111640,Moderate,Strong,Strong,Moderate,Moderate,Strong
ENSG00000111647,Moderate,Moderate,Negative,Moderate,Strong,Moderate
ENSG00000111652,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000111676,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000111704,Weak,Weak,Negative,Negative,Negative,Negative
ENSG00000111716,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000111816,Moderate,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000111832,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000111834,Negative,Moderate,Negative,Negative,Weak,Negative
ENSG00000111845,Moderate,Moderate,Moderate,Strong,Moderate,Strong
ENSG00000111846,Moderate,Strong,Weak,Strong,Strong,Strong
ENSG00000111859,Moderate,Weak,Moderate,Moderate,Moderate,Moderate
ENSG00000111860,Moderate,Moderate,Strong,Strong,Strong,Strong
ENSG00000111877,Negative,Weak,Weak,Negative,Weak,Negative
ENSG00000111879,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000111885,Strong,Moderate,Strong,Strong,Strong,Strong
ENSG00000111897,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000111907,Negative,Moderate,Negative,Negative,Negative,Negative
ENSG00000111911,Negative,Moderate,Negative,Weak,Negative,Negative
ENSG00000111912,Negative,Moderate,Negative,Weak,Weak,Moderate
ENSG00000111961,Negative,Moderate,Moderate,Weak,Weak,Moderate
ENSG00000111962,Negative,Moderate,Negative,Negative,Negative,Moderate
ENSG00000112029,Weak,Moderate,Weak,Negative,Negative,Negative
ENSG00000112062,Strong,Weak,Moderate,Weak,Negative,Strong
ENSG00000112078,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000112137,Negative,Moderate,Negative,Moderate,Weak,Negative
ENSG00000112159,Weak,Weak,Strong,Strong,Strong,Strong
ENSG00000112210,Strong,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000112214,Weak,Moderate,Moderate,Weak,Moderate,Negative
ENSG00000112232,Negative,Negative,Negative,Moderate,Negative,Negative
ENSG00000112234,Moderate,Strong,Moderate,Strong,Moderate,Strong
ENSG00000112249,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000112276,Strong,Strong,Moderate,Moderate,Moderate,Strong
ENSG00000112297,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000112305,Negative,Weak,Negative,Weak,Negative,Negative
ENSG00000112308,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000112312,Weak,Weak,Strong,Strong,Strong,Negative
ENSG00000112320,Strong,Moderate,Moderate,Moderate,Moderate,Strong
ENSG00000112333,Weak,Weak,Moderate,Moderate,Moderate,Moderate
ENSG00000112335,Negative,Moderate,Negative,Moderate,Weak,Negative
ENSG00000112339,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000112343,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000112419,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000112531,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000112539,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000112578,Weak,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000112584,Moderate,Moderate,Moderate,Moderate,Moderate,Weak
ENSG00000112592,Negative,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000112599,Weak,Moderate,Weak,Moderate,Weak,Weak
ENSG00000112619,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000112624,Weak,Moderate,Moderate,Moderate,Moderate,Weak
ENSG00000112667,Strong,Moderate,Moderate,Strong,Strong,Strong
ENSG00000112679,Strong,Moderate,Moderate,Strong,Moderate,Strong
ENSG00000112685,Negative,Weak,Negative,Negative,Weak,Weak
ENSG00000112697,Weak,Moderate,Negative,Weak,Negative,Weak
ENSG00000112699,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000112701,Negative,Moderate,Moderate,Moderate,Negative,Negative
ENSG00000112715,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000112739,Strong,Strong,Strong,Moderate,Strong,Strong
ENSG00000112759,Strong,Strong,Strong,Strong,Moderate,Weak
ENSG00000112763,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000112799,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000112812,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000112818,Weak,Weak,Weak,Weak,Weak,Weak
ENSG00000112837,Moderate,Moderate,Moderate,Strong,Moderate,Negative
ENSG00000112893,Moderate,Moderate,Moderate,Moderate,Weak,Weak
ENSG00000112972,Strong,Strong,Moderate,Strong,Strong,Moderate
ENSG00000112977,Moderate,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000112984,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000112996,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000113161,Strong,Moderate,Moderate,Strong,Moderate,Strong
ENSG00000113163,Negative,Moderate,Negative,Weak,Weak,Weak
ENSG00000113211,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000113273,Strong,Moderate,Moderate,Strong,Strong,Strong
ENSG00000113319,Moderate,Strong,Moderate,Strong,Moderate,Strong
ENSG00000113389,Moderate,Moderate,Weak,Weak,Weak,Weak
ENSG00000113504,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000113522,Strong,Moderate,Strong,Strong,Strong,Strong
ENSG00000113569,Strong,Moderate,Weak,Weak,Moderate,Negative
ENSG00000113593,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000113597,Weak,Moderate,Moderate,Moderate,Weak,Moderate
ENSG00000113600,Weak,Weak,Negative,Moderate,Weak,Negative
ENSG00000113719,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000113721,Moderate,Moderate,Weak,Weak,Moderate,Negative
ENSG00000113810,Weak,Strong,Moderate,Moderate,Moderate,Weak
ENSG00000113966,Moderate,Moderate,Negative,Moderate,Strong,Moderate
ENSG00000114023,Moderate,Moderate,Negative,Negative,Negative,Negative
ENSG00000114026,Negative,Moderate,Weak,Strong,Moderate,Weak
ENSG00000114107,Moderate,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000114115,Weak,Strong,Moderate,Weak,Moderate,Negative
ENSG00000114120,Moderate,Weak,Weak,Moderate,Moderate,Moderate
ENSG00000114124,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000114126,Moderate,Moderate,Moderate,Strong,Moderate,Moderate
ENSG00000114127,Moderate,Strong,Strong,Strong,Strong,Strong
ENSG00000114204,Negative,Moderate,Negative,Moderate,Negative,Negative
ENSG00000114209,Moderate,Moderate,Weak,Moderate,Strong,Moderate
ENSG00000114316,Negative,Moderate,Negative,Negative,Negative,Negative
ENSG00000114354,Negative,Moderate,Negative,Negative,Weak,Negative
ENSG00000114383,Strong,Moderate,Strong,Moderate,Moderate,Strong
ENSG00000114405,Weak,Moderate,Negative,Moderate,Strong,Moderate
ENSG00000114423,Strong,Strong,Negative,Strong,Moderate,Moderate
ENSG00000114455,Weak,Negative,Weak,Weak,Negative,Negative
ENSG00000114480,Moderate,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000114491,Strong,Strong,Strong,Strong,Moderate,Moderate
ENSG00000114631,Strong,Moderate,Strong,Strong,Strong,Weak
ENSG00000114638,Weak,Weak,Weak,Weak,Negative,Negative
ENSG00000114654,Weak,Weak,Negative,Weak,Weak,Negative
ENSG00000114735,Strong,Strong,Moderate,Strong,Strong,Moderate
ENSG00000114739,Negative,Weak,Weak,Moderate,Weak,Weak
ENSG00000114744,Moderate,Moderate,Negative,Moderate,Weak,Moderate
ENSG00000114767,Negative,Negative,Negative,Moderate,Negative,Negative
ENSG00000114779,Moderate,Moderate,Strong,Moderate,Moderate,Moderate
ENSG00000114805,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000114812,Negative,Moderate,Weak,Moderate,Weak,Weak
ENSG00000114841,Strong,Strong,Strong,Moderate,Strong,Strong
ENSG00000114857,Strong,Strong,Strong,Strong,Moderate,Strong
ENSG00000114859,Moderate,Moderate,Moderate,Moderate,Moderate,Weak
ENSG00000114923,Negative,Moderate,Negative,Moderate,Weak,Negative
ENSG00000114933,Strong,Strong,Strong,Strong,Moderate,Moderate
ENSG00000114948,Weak,Strong,Negative,Weak,Strong,Weak
ENSG00000114988,Moderate,Strong,Moderate,Strong,Strong,Moderate
ENSG00000114993,Strong,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000115008,Negative,Negative,Moderate,Weak,Weak,Moderate
ENSG00000115053,Weak,Strong,Strong,Strong,Moderate,Strong
ENSG00000115109,Moderate,Strong,Negative,Moderate,Strong,Moderate
ENSG00000115112,Negative,Negative,Negative,Moderate,Negative,Negative
ENSG00000115128,Weak,Moderate,Negative,Moderate,Weak,Weak
ENSG00000115129,Strong,Weak,Moderate,Strong,Moderate,Moderate
ENSG00000115137,Strong,Moderate,Moderate,Strong,Strong,Strong
ENSG00000115170,Weak,Weak,Weak,Moderate,Weak,Moderate
ENSG00000115211,Negative,Moderate,Negative,Moderate,Negative,Negative
ENSG00000115271,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000115282,Weak,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000115295,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000115310,Negative,Moderate,Negative,Negative,Negative,Negative
ENSG00000115317,Negative,Weak,Weak,Moderate,Weak,Negative
ENSG00000115318,Moderate,Weak,Strong,Weak,Moderate,Moderate
ENSG00000115365,Negative,Negative,Negative,Moderate,Negative,Negative
ENSG00000115386,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000115392,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000115414,Negative,Strong,Moderate,Weak,Strong,Moderate
ENSG00000115419,Moderate,Weak,Negative,Weak,Weak,Moderate
ENSG00000115425,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000115484,Negative,Weak,Negative,Weak,Negative,Negative
ENSG00000115486,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000115504,Weak,Weak,Weak,Weak,Moderate,Weak
ENSG00000115507,Moderate,Moderate,Negative,Moderate,Moderate,Negative
ENSG00000115514,Weak,Weak,Weak,Weak,Negative,Weak
ENSG00000115523,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000115525,Negative,Weak,Negative,Weak,Negative,Negative
ENSG00000115539,Moderate,Moderate,Moderate,Moderate,Negative,Moderate
ENSG00000115541,Strong,Moderate,Strong,Strong,Strong,Strong
ENSG00000115590,Strong,Moderate,Moderate,Strong,Strong,Strong
ENSG00000115593,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000115594,Negative,Moderate,Negative,Strong,Moderate,Moderate
ENSG00000115598,Moderate,Moderate,Moderate,Moderate,Weak,Moderate
ENSG00000115607,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000115616,Strong,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000115648,Moderate,Moderate,Negative,Strong,Moderate,Moderate
ENSG00000115661,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000115687,Strong,Strong,Strong,Strong,Moderate,Strong
ENSG00000115738,Negative,Moderate,Negative,Weak,Weak,Negative
ENSG00000115758,Strong,Strong,Moderate,Strong,Strong,Moderate
ENSG00000115806,Strong,Strong,Weak,Negative,Strong,Weak
ENSG00000115808,Weak,Weak,Negative,Moderate,Negative,Weak
ENSG00000115825,Moderate,Moderate,Moderate,Moderate,Weak,Moderate
ENSG00000115839,Strong,Moderate,Moderate,Strong,Moderate,Strong
ENSG00000115840,Strong,Strong,Moderate,Strong,Moderate,Strong
ENSG00000115841,Moderate,Moderate,Strong,Moderate,Moderate,Strong
ENSG00000115866,Strong,Strong,Strong,Strong,Strong,Moderate
ENSG00000115896,Moderate,Moderate,Moderate,Moderate,Strong,Moderate
ENSG00000115919,Strong,Strong,Weak,Moderate,Moderate,Moderate
ENSG00000115956,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000115966,Strong,Moderate,Negative,Negative,Weak,Negative
ENSG00000115970,Moderate,Negative,Weak,Negative,Weak,Weak
ENSG00000115998,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000116005,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000116062,Weak,Moderate,Moderate,Negative,Moderate,Negative
ENSG00000116095,Negative,Negative,Negative,Negative,Weak,Negative
ENSG00000116096,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000116106,Weak,Weak,Negative,Negative,Negative,Weak
ENSG00000116117,Weak,Weak,Negative,Moderate,Negative,Weak
ENSG00000116133,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000116147,Moderate,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000116157,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000116161,Negative,Moderate,Negative,Moderate,Moderate,Negative
ENSG00000116171,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000116183,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000116191,Weak,Weak,Negative,Weak,Weak,Weak
ENSG00000116194,Strong,Strong,Negative,Strong,Strong,Strong
ENSG00000116198,Moderate,Moderate,Negative,Moderate,Negative,Moderate
ENSG00000116199,Weak,Moderate,Moderate,Moderate,Weak,Weak
ENSG00000116213,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000116218,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000116221,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000116266,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000116273,Negative,Negative,Negative,Moderate,Moderate,Moderate
ENSG00000116285,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000116299,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000116353,Moderate,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000116406,Negative,Weak,Negative,Weak,Negative,Negative
ENSG00000116455,Weak,Moderate,Weak,Moderate,Strong,Moderate
ENSG00000116478,Strong,Strong,Negative,Strong,Weak,Weak
ENSG00000116521,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000116544,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000116580,Negative,Moderate,Negative,Negative,Weak,Negative
ENSG00000116649,Strong,Moderate,Moderate,Moderate,Strong,Negative
ENSG00000116668,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000116670,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000116675,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000116688,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000116690,Weak,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000116691,Moderate,Moderate,Weak,Strong,Weak,Moderate
ENSG00000116698,Negative,Negative,Negative,Negative,Weak,Negative
ENSG00000116703,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000116726,Negative,Moderate,Negative,Weak,Weak,Negative
ENSG00000116748,Negative,Moderate,Negative,Moderate,Moderate,Weak
ENSG00000116761,Moderate,Weak,Moderate,Moderate,Strong,Strong
ENSG00000116771,Moderate,Strong,Strong,Moderate,Moderate,Negative
ENSG00000116791,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000116852,Strong,Strong,Strong,Strong,Moderate,Moderate
ENSG00000116857,Strong,Moderate,Moderate,Strong,Moderate,Moderate
ENSG00000116863,Moderate,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000116871,Negative,Weak,Negative,Moderate,Negative,Negative
ENSG00000116885,Moderate,Negative,Negative,Moderate,Moderate,Weak
ENSG00000116898,Negative,Weak,Negative,Moderate,Negative,Negative
ENSG00000116918,Negative,Weak,Weak,Moderate,Weak,Negative
ENSG00000116922,Weak,Weak,Negative,Moderate,Strong,Moderate
ENSG00000116957,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000116977,Moderate,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000116984,Weak,Moderate,Negative,Moderate,Negative,Weak
ENSG00000116991,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000117009,Negative,Weak,Negative,Weak,Moderate,Moderate
ENSG00000117016,Strong,Strong,Weak,Strong,Moderate,Strong
ENSG00000117020,Negative,Moderate,Negative,Moderate,Weak,Weak
ENSG00000117054,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000117139,Negative,Strong,Negative,Moderate,Moderate,Moderate
ENSG00000117148,Strong,Strong,Moderate,Moderate,Strong,Moderate
ENSG00000117151,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000117152,Strong,Strong,Strong,Strong,Moderate,Moderate
ENSG00000117155,Negative,Weak,Negative,Weak,Negative,Negative
ENSG00000117174,Moderate,Moderate,Weak,Weak,Moderate,Weak
ENSG00000117228,Moderate,Negative,Moderate,Strong,Strong,Moderate
ENSG00000117245,Moderate,Moderate,Weak,Weak,Moderate,Weak
ENSG00000117280,Weak,Moderate,Negative,Negative,Negative,Weak
ENSG00000117289,Moderate,Moderate,Moderate,Moderate,Moderate,Negative
ENSG00000117318,Negative,Strong,Moderate,Strong,Strong,Negative
ENSG00000117360,Negative,Weak,Negative,Weak,Weak,Moderate
ENSG00000117395,Weak,Moderate,Moderate,Moderate,Weak,Moderate
ENSG00000117419,Weak,Moderate,Weak,Moderate,Weak,Moderate
ENSG00000117448,Strong,Strong,Moderate,Weak,Moderate,Negative
ENSG00000117475,Moderate,Moderate,Weak,Strong,Moderate,Moderate
ENSG00000117477,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000117481,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000117501,Weak,Moderate,Moderate,Moderate,Weak,Moderate
ENSG00000117523,Weak,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000117528,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000117543,Moderate,Moderate,Moderate,Strong,Strong,Moderate
ENSG00000117560,Negative,Weak,Strong,Moderate,Moderate,Weak
ENSG00000117593,Negative,Moderate,Weak,Weak,Negative,Negative
ENSG00000117598,Weak,Weak,Negative,Negative,Negative,Weak
ENSG00000117601,Moderate,Moderate,Moderate,Strong,Strong,Moderate
ENSG00000117602,Negative,Negative,Weak,Negative,Negative,Negative
ENSG00000117614,Moderate,Strong,Moderate,Strong,Strong,Moderate
ENSG00000117650,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000117682,Strong,Strong,Weak,Strong,Strong,Moderate
ENSG00000117691,Weak,Moderate,Weak,Moderate,Weak,Weak
ENSG00000117748,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000117751,Strong,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000117791,Strong,Strong,Strong,Moderate,Moderate,Weak
ENSG00000117859,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000117862,Weak,Weak,Negative,Negative,Weak,Negative
ENSG00000117877,Strong,Strong,Moderate,Strong,Moderate,Strong
ENSG00000118113,Negative,Negative,Negative,Weak,Negative,Negative
ENSG00000118181,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000118194,Weak,Negative,Negative,Negative,Negative,Negative
ENSG00000118200,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000118263,Weak,Negative,Negative,Moderate,Weak,Weak
ENSG00000118292,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000118322,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000118418,Moderate,Moderate,Weak,Moderate,Moderate,Weak
ENSG00000118420,Moderate,Strong,Negative,Moderate,Moderate,Weak
ENSG00000118434,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000118454,Weak,Moderate,Negative,Moderate,Negative,Moderate
ENSG00000118482,Moderate,Moderate,Negative,Negative,Moderate,Moderate
ENSG00000118491,Strong,Strong,Strong,Strong,Moderate,Strong
ENSG00000118492,Strong,Negative,Moderate,Strong,Strong,Moderate
ENSG00000118507,Strong,Strong,Moderate,Strong,Strong,Moderate
ENSG00000118508,Negative,Moderate,Negative,Weak,Weak,Negative
ENSG00000118514,Moderate,Negative,Negative,Negative,Moderate,Negative
ENSG00000118520,Strong,Strong,Moderate,Strong,Strong,Moderate
ENSG00000118523,Weak,Moderate,Weak,Moderate,Weak,Weak
ENSG00000118526,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000118579,Negative,Negative,Negative,Negative,Weak,Negative
ENSG00000118640,Moderate,Strong,Strong,Strong,Strong,Moderate
ENSG00000118690,Negative,Negative,Negative,Negative,Weak,Negative
ENSG00000118705,Strong,Strong,Moderate,Moderate,Strong,Moderate
ENSG00000118729,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000118785,Negative,Strong,Strong,Strong,Moderate,Weak
ENSG00000118873,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000118939,Moderate,Negative,Negative,Negative,Negative,Moderate
ENSG00000118961,Moderate,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000118985,Moderate,Weak,Weak,Strong,Moderate,Weak
ENSG00000118997,Negative,Negative,Weak,Weak,Negative,Negative
ENSG00000119013,Moderate,Moderate,Weak,Moderate,Strong,Moderate
ENSG00000119042,Negative,Moderate,Negative,Moderate,Moderate,Weak
ENSG00000119125,Strong,Moderate,Strong,Strong,Strong,Strong
ENSG00000119283,Negative,Negative,Weak,Moderate,Weak,Weak
ENSG00000119318,Strong,Strong,Strong,Strong,Moderate,Strong
ENSG00000119333,Strong,Moderate,Strong,Strong,Negative,Strong
ENSG00000119383,Moderate,Negative,Moderate,Moderate,Moderate,Weak
ENSG00000119392,Moderate,Strong,Strong,Strong,Moderate,Moderate
ENSG00000119396,Moderate,Moderate,Weak,Moderate,Strong,Moderate
ENSG00000119397,Strong,Strong,Moderate,Moderate,Strong,Strong
ENSG00000119408,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000119431,Moderate,Strong,Moderate,Moderate,Strong,Strong
ENSG00000119471,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000119487,Negative,Strong,Moderate,Moderate,Moderate,Negative
ENSG00000119522,Strong,Moderate,Negative,Negative,Weak,Negative
ENSG00000119608,Negative,Weak,Negative,Weak,Moderate,Negative
ENSG00000119685,Weak,Moderate,Weak,Weak,Moderate,Weak
ENSG00000119699,Weak,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000119705,Negative,Moderate,Negative,Weak,Negative,Negative
ENSG00000119718,Moderate,Strong,Moderate,Moderate,Strong,Weak
ENSG00000119760,Negative,Weak,Weak,Moderate,Moderate,Weak
ENSG00000119772,Weak,Strong,Weak,Weak,Weak,Weak
ENSG00000119777,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000119778,Moderate,Weak,Weak,Weak,Moderate,Weak
ENSG00000119801,Moderate,Strong,Weak,Strong,Strong,Strong
ENSG00000119820,Moderate,Moderate,Negative,Weak,Moderate,Moderate
