GENES,Patient 2177,Patient 2280,Patient 2556,Patient 2766,Patient 3196,Patient 3477
ENSG00000154330,Negative,Moderate,Weak,Weak,Moderate,Negative
ENSG00000154358,Weak,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000154359,Negative,Negative,Negative,Weak,Moderate,Negative
ENSG00000154370,Moderate,Weak,Weak,Moderate,Weak,Weak
ENSG00000154380,Weak,Moderate,Negative,Moderate,Strong,Negative
ENSG00000154429,Negative,Weak,Negative,Weak,Negative,Weak
ENSG00000154438,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000154451,Weak,Moderate,Moderate,Moderate,Moderate,Weak
ENSG00000154485,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000154511,Moderate,Moderate,Negative,Moderate,Moderate,Negative
ENSG00000154639,Moderate,Moderate,Weak,Moderate,Strong,Weak
ENSG00000154642,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000154654,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000154678,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000154719,Negative,Moderate,Moderate,Moderate,Weak,Weak
ENSG00000154723,Strong,Strong,Strong,Strong,Strong,Strong
ENSG00000154727,Negative,Moderate,Negative,Negative,Negative,Negative
ENSG00000154736,Negative,Weak,Weak,Negative,Negative,Negative
ENSG00000154743,Moderate,Moderate,Moderate,Moderate,Weak,Weak
ENSG00000154760,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000154783,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000154803,Moderate,Moderate,Moderate,Strong,Moderate,Moderate
ENSG00000154813,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000154864,Strong,Strong,Strong,Strong,Moderate,Moderate
ENSG00000154914,Negative,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000155016,Moderate,Moderate,Negative,Moderate,Moderate,Moderate
ENSG00000155085,Strong,Moderate,Strong,Strong,Strong,Strong
ENSG00000155096,Weak,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000155097,Moderate,Moderate,Moderate,Moderate,Moderate,Negative
ENSG00000155100,Moderate,Moderate,Weak,Moderate,Moderate,Moderate
ENSG00000155249,Moderate,Moderate,Moderate,Moderate,Negative,Weak
ENSG00000155252,Negative,Weak,Moderate,Moderate,Weak,Negative
ENSG00000155269,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000155313,Moderate,Strong,Weak,Moderate,Strong,Strong
ENSG00000155465,Negative,Negative,Weak,Weak,Negative,Negative
ENSG00000155530,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000155561,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000155629,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000155636,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000155657,Weak,Weak,Negative,Negative,Negative,Negative
ENSG00000155744,Weak,Moderate,Weak,Moderate,Weak,Moderate
ENSG00000155761,Moderate,Moderate,Moderate,Moderate,Weak,Weak
ENSG00000155792,Strong,Strong,Moderate,Moderate,Weak,Moderate
ENSG00000155890,Weak,Moderate,Moderate,Moderate,Strong,Moderate
ENSG00000155897,Moderate,Strong,Weak,Weak,Moderate,Weak
ENSG00000155903,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000155906,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000155959,Moderate,Negative,Moderate,Moderate,Moderate,Moderate
ENSG00000155970,Moderate,Moderate,Moderate,Moderate,Moderate,Weak
ENSG00000155975,Strong,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000156050,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000156096,Moderate,Weak,Moderate,Moderate,Moderate,Moderate
ENSG00000156110,Moderate,Strong,Strong,Moderate,Moderate,Strong
ENSG00000156162,Weak,Moderate,Negative,Moderate,Negative,Moderate
ENSG00000156171,Moderate,Moderate,Negative,Negative,Moderate,Moderate
ENSG00000156172,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000156194,Negative,Moderate,Negative,Weak,Weak,Negative
ENSG00000156256,Negative,Moderate,Negative,Negative,Weak,Weak
ENSG00000156261,Moderate,Moderate,Moderate,Strong,Moderate,Moderate
ENSG00000156282,Strong,Strong,Moderate,Strong,Strong,Strong
ENSG00000156304,Strong,Strong,Negative,Moderate,Strong,Strong
ENSG00000156345,Strong,Strong,Weak,Strong,Strong,Moderate
ENSG00000156398,Moderate,Moderate,Strong,Moderate,Moderate,Moderate
ENSG00000156414,Weak,Moderate,Negative,Moderate,Moderate,Weak
ENSG00000156427,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000156463,Negative,Weak,Negative,Moderate,Weak,Moderate
ENSG00000156475,Strong,Negative,Strong,Strong,Negative,Strong
ENSG00000156509,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000156521,Negative,Moderate,Negative,Negative,Weak,Weak
ENSG00000156675,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000156711,Negative,Moderate,Moderate,Moderate,Moderate,Weak
ENSG00000156735,Moderate,Moderate,Moderate,Moderate,Moderate,Weak
ENSG00000156787,Moderate,Moderate,Negative,Negative,Moderate,Moderate
ENSG00000156795,Weak,Weak,Weak,Moderate,Negative,Negative
ENSG00000156802,Weak,Strong,Moderate,Moderate,Moderate,Weak
ENSG00000156869,Moderate,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000156876,Moderate,Moderate,Weak,Moderate,Negative,Weak
ENSG00000156886,Negative,Negative,Negative,Negative,Weak,Negative
ENSG00000156928,Weak,Moderate,Strong,Moderate,Weak,Moderate
ENSG00000156931,Weak,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000156959,Negative,Strong,Moderate,Moderate,Weak,Negative
ENSG00000156966,Negative,Weak,Negative,Weak,Weak,Negative
ENSG00000156973,Moderate,Moderate,Weak,Moderate,Strong,Moderate
ENSG00000157014,Negative,Weak,Negative,Weak,Moderate,Negative
ENSG00000157017,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000157020,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000157045,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000157060,Negative,Moderate,Negative,Moderate,Weak,Weak
ENSG00000157103,Moderate,Strong,Moderate,Moderate,Strong,Negative
ENSG00000157107,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000157184,Strong,Strong,Negative,Strong,Strong,Moderate
ENSG00000157191,Negative,Weak,Negative,Negative,Negative,Negative
ENSG00000157211,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000157219,Negative,Moderate,Negative,Negative,Negative,Negative
ENSG00000157224,Negative,Weak,Moderate,Weak,Weak,Weak
ENSG00000157326,Weak,Negative,Negative,Weak,Negative,Weak
ENSG00000157343,Negative,Negative,Negative,Negative,Weak,Negative
ENSG00000157349,Strong,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000157388,Strong,Strong,Moderate,Moderate,Moderate,Moderate
ENSG00000157429,Negative,Moderate,Negative,Moderate,Negative,Negative
ENSG00000157445,Weak,Strong,Negative,Moderate,Moderate,Moderate
ENSG00000157483,Negative,Moderate,Weak,Negative,Negative,Negative
ENSG00000157502,Negative,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000157578,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000157613,Moderate,Moderate,Moderate,Weak,Strong,Moderate
ENSG00000157625,Negative,Weak,Weak,Moderate,Weak,Weak
ENSG00000157637,Strong,Moderate,Moderate,Moderate,Strong,Moderate
ENSG00000157653,Moderate,Strong,Weak,Moderate,Moderate,Weak
ENSG00000157657,Strong,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000157680,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000157703,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000157741,Negative,Weak,Negative,Negative,Negative,Moderate
ENSG00000157778,Moderate,Strong,Moderate,Moderate,Weak,Strong
ENSG00000157851,Negative,Negative,Negative,Negative,Negative,Negative
ENSG00000157873,Weak,Weak,Negative,Negative,Negative,Negative
ENSG00000157881,Moderate,Moderate,Moderate,Moderate,Moderate,Negative
ENSG00000157884,Strong,Strong,Strong,Strong,Moderate,Strong
ENSG00000157890,Moderate,Strong,Moderate,Strong,Moderate,Moderate
ENSG00000157954,Negative,Moderate,Moderate,Weak,Negative,Negative
ENSG00000157999,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
ENSG00000158006,Moderate,Moderate,Moderate,Moderate,Moderate,Moderate
